F010029;F010030;F041699;F041799;F041803;F041899;F050799;F051699;F050899;F051799;F080099;F090024;F090036;F090099
41001;41001;716906;5287057;342350;342350;46;9;2011428;650880;89526033;716906;2662308;88303816
41002;42101;401962;2778611;21000;1053765;37;5;1346824;183658;14627168;401962;1530482;14105849
41001;41001;676863;10114242;189920;3145120;113;58;9390600;3686952;268877548;676863;13077552;259309022
41001;41001;22867;226319;292536;292536;86;7;2130821;259682;14530298;22867;2390503;14018115
42902;43902;168725;372463;0;0;27;2;426000;88800;5839463;168725;514800;5417192
43291;42909;132630;2042974;61440;61440;5;1;392233;33550;25976427;132630;425783;25615254
43909;43219;83286;61747;24000;24000;1;1;26032;18000;17000;83286;44032;278486
42109;42109;26055;137030;0;28300;6;0;153000;0;838413;26055;153000;825071
43122;43122;113649;236498;18000;28560;39;2;867787;55391;2664294;113649;923178;2637651
43121;41001;4707;15902;24000;24000;7;0;144000;0;2620584;4707;144000;1828360
43122;43122;120762;2916974;0;0;6;2;300000;43200;2241916;120762;343200;3358882
41001;41001;226594;4737232;0;0;10;4;661239;355600;10724101;226594;1016839;10571466
43129;42909;36956;534232;69065;69065;12;3;493860;165336;2862286;36956;659196;2685414
43211;43211;138813;1594377;15000;39319;26;3;826321;123473;2847787;138813;949794;2794745
43303;43303;18177;6312;0;0;35;1;866422;0;5850400;18177;866422;5694096
42909;43211;147606;6479901;0;29300;22;3;727812;83076;8285331;147606;810888;7990123
41001;41002;365714;1557708;0;104304;111;4;7640201;216047;33629572;365714;7856248;26903658
41001;41001;771892;9586012;0;221452;160;3;4442628;102924;56908201;771892;4545552;57120120
43907;43907;1529295;36908321;0;0;295;11;8412852;890472;41307707;1529295;9303324;37146167
43307;43307;246357;801456;0;0;30;0;1161000;0;81857407;246357;1161000;81622184
43309;43909;85806;1824944;0;24472;15;6;634416;226572;7890334;85806;860988;6312267
